C0085272;DB00007
C0391001;DB00008
C0003993;DB00023
C0011701;DB00035
C0537670;DB00038
C0907402;DB00047
C0288672;DB00054
C0877880;DB00078
C0017797;DB00130
C0000545;DB00159
C0087161;DB00162
C0023791;DB00166
C0733397;DB00179
C0060501;DB00180
C0529793;DB00203
C0035179;DB00206
C0081876;DB00213
C0061323;DB00222
C0030125;DB00233
C0127615;DB00244
C0038702;DB00259
C0010590;DB00260
C0007257;DB00262
C0244821;DB00268
C1098320;DB00275
C0012702;DB00280
C0023660;DB00281
C0008929;DB00283
C0078569;DB00285
C0002475;DB00305
C0030883;DB00312
C0031955;DB00319
C0246330;DB00323
C0069833;DB00383
C1436328;DB00402
C0006945;DB00411
C0596004;DB00424
C0041041;DB00440
C0005308;DB00443
C0007735;DB00456
C0298130;DB00471
C0016365;DB00472
C0002499;DB00479
C0538927;DB00482
C0066535;DB00491
C0007554;DB00493
C0018546;DB00502
C0012050;DB00527
C0028420;DB00540
C0042679;DB00541
C0031990;DB00554
C0252643;DB00559
C0012384;DB00566
C0087163;DB00583
C0117996;DB00588
C0023863;DB00589
C0038792;DB00605
C0008269;DB00608
C0053799;DB00612
C0016368;DB00623
C0674428;DB00625
C0004599;DB00626
C0018312;DB00629
C0038670;DB00634
C0085170;DB00637
C0001443;DB00640
C0284941;DB00659
C0163055;DB00660
C0016860;DB00695
C0961485;DB00700
C0257343;DB00706
C0209738;DB00709
C0379199;DB00710
C0065374;DB00722
C0068367;DB00735
C0036442;DB00747
C0033124;DB00750
C0040778;DB00752
C0055877;DB00771
C0035525;DB00811
C0012963;DB00841
C0029997;DB00842
C0039542;DB00871
C0772364;DB00873
C0061863;DB00889
C0039600;DB00894
C0001962;DB00898
C0014963;DB00903
C0009170;DB00907
C0024778;DB00934
C0025815;DB00959
C0291772;DB00969
C0010582;DB00979
C0060657;DB00983
C0010711;DB00987
C0013030;DB00988
C0027603;DB00994
C0020261;DB00999
C0076705;DB01007
C0035608;DB01045
C1684405;DB01046
C0016299;DB01047
C0663655;DB01048
C0032911;DB01058
C0079594;DB01088
C0074393;DB01104
C0074493;DB01105
C0041040;DB01116
C0012022;DB01119
C0754659;DB01126
C0282386;DB01137
C1120386;DB01141
C0016225;DB01148
C0076107;DB01162
C0033223;DB01168
C0018318;DB01170
C0066673;DB01171
C0033429;DB01182
C0031007;DB01186
C0000946;DB01193
C0014921;DB01196
C0022614;DB01221
C0206460;DB01225
C0017245;DB01241
C0009010;DB01242
C0005116;DB01244
C0753678;DB01267
C0879427;DB01269
C1739462;DB01271
C1615657;DB01279
