"drug_id";"drug_id_EKP";"direct";"Disease.or.Syndrome";"Pathologic.Function";"Finding";"Cell";"Cell.Component";"Organism.Function";"Body.Part..Organ..or.Organ.Component";"Sign.or.Symptom";"Mental.or.Behavioral.Dysfunction";"Chemical.Viewed.Structurally";"Organic.Chemical";"Pharmacologic.Substance";"Neuroreactive.Substance.or.Biogenic.Amine";"Gene.or.Genome";"Cell.Function";"Amino.Acid..Peptide..or.Protein";"Lipid";"Biologically.Active.Substance";"Receptor";"Inorganic.Chemical";"Hormone";"Patient.or.Disabled.Group";"Age.Group";"Human";"Population.Group";"Chemical.Viewed.Functionally";"Therapeutic.or.Preventive.Procedure";"Animal";"Mammal";"Professional.or.Occupational.Group";"Body.Substance";"Steroid";"Mental.Process";"Species";"Group";"Health.Care.Activity";"Laboratory.Procedure";"Diagnostic.Procedure";"Occupational.Activity";"Molecular.Function";"Genetic.Function";"Organism.Attribute";"Organ.or.Tissue.Function";"Antibiotic";"Enzyme";"Nucleic.Acid..Nucleoside..or.Nucleotide";"Immunologic.Factor";"Indicator..Reagent..or.Diagnostic.Aid";"Cell.or.Molecular.Dysfunction";"Physiologic.Function";"Injury.or.Poisoning";"Qualitative.Concept";"Laboratory.or.Test.Result";"Medical.Device";"Biologic.Function";"Congenital.Abnormality";"Neoplastic.Process";"Vitamin";"Nucleotide.Sequence";"Body.System";"Tissue";"Acquired.Abnormality";"Natural.Phenomenon.or.Process";"Activity";"Carbohydrate";"Anatomical.Abnormality";"Hazardous.or.Poisonous.Substance";"Functional.Concept";"Experimental.Model.of.Disease";"Element..Ion..or.Isotope";"Clinical.Attribute";"Bacterium";"Family.Group";"Plant";"Organism";"Fungus";"Food";"Individual.Behavior";"Eicosanoid";"Biomedical.or.Dental.Material";"Clinical.Drug";"Substance";"Temporal.Concept";"Chemical";"Organophosphorus.Compound";"Quantitative.Concept";"Research.Activity";"Manufactured.Object";"Molecular.Biology.Research.Technique";"Phenomenon.or.Process";"Body.Location.or.Region";"Embryonic.Structure";"Environmental.Effect.of.Humans";"Virus";"Idea.or.Concept";"Research.Device";"Molecular.Sequence";"Eukaryote";"Intellectual.Product";"Vertebrate";"Archaeon";"Fish";"Human.caused.Phenomenon.or.Process";"Social.Behavior";"Spatial.Concept";"Daily.or.Recreational.Activity";"Fully.Formed.Anatomical.Structure";"Classification";"Bird";"Body.Space.or.Junction";"Amphibian";"Educational.Activity";"Biomedical.Occupation.or.Discipline";"Reptile";"Anatomical.Structure";"Occupation.or.Discipline";"Amino.Acid.Sequence";"Disorders";"Anatomy";"Physiology";"Chemicals...Drugs";"Genes...Molecular.Sequences";"Living.Beings";"Procedures";"Activities...Behaviors";"Concepts...Ideas";"Phenomena";"Devices";"Objects";"Occupations";"disease_id";"disease_id_EKP";"Status"
"DB00001";"1190262";"TRUE";6;4;4;0;0;0;0;0;0;2;1;3;0;0;0;2;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;4;0;3;1;0;0;0;0;0;0;"C0272275";"4615864";"Approved"
"DB00002";"976195";"FALSE";1;2;4;5;1;0;0;0;0;2;0;4;1;9;3;11;0;5;2;1;2;1;0;1;2;0;12;0;0;0;0;0;0;0;0;1;1;4;0;2;0;1;0;0;1;1;4;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;8;3;14;9;5;15;0;0;0;0;0;0;"C0585362";"3694557";"Approved"
"DB00002";"976195";"FALSE";0;0;0;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;0;0;0;0;"C1319317";"2706599";"Approved"
"DB00002";"976195";"FALSE";5;5;6;9;2;1;1;0;0;5;3;6;1;22;6;22;0;12;3;1;2;2;1;2;2;1;16;0;1;0;1;0;0;0;1;1;2;3;0;6;3;1;1;1;5;2;6;0;2;0;1;0;0;0;0;0;16;1;0;0;3;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;17;13;32;22;9;19;0;1;0;0;0;0;"C0280324";"3697288";"Approved"
"DB00002";"976195";"TRUE";21;15;41;17;5;2;10;3;0;40;29;53;1;62;19;62;2;30;10;2;3;3;4;2;7;1;38;2;9;6;2;2;0;2;1;2;5;5;0;7;8;1;3;3;20;7;18;0;3;1;3;1;0;1;0;1;64;5;1;0;5;0;2;0;2;0;2;1;2;2;0;0;2;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;38;34;128;63;37;48;0;2;2;1;0;0;"C0007102";"2636926";"Approved"
"DB00003";"359410";"TRUE";21;11;18;3;2;2;3;7;0;11;4;19;0;1;2;18;1;9;0;4;1;3;7;2;2;1;9;2;4;1;3;0;0;1;0;0;0;4;0;1;0;0;4;2;10;1;4;1;1;1;0;0;0;2;0;1;0;0;0;0;0;1;1;0;4;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;9;11;37;1;23;13;0;0;1;2;1;0;"C0010674";"135909";"Approved"
"DB00004";"764193";"TRUE";6;1;11;8;2;1;0;0;0;4;4;9;1;6;1;11;0;2;2;0;0;1;0;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;10;0;0;1;1;0;0;0;0;0;14;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;10;4;18;6;3;5;0;0;0;0;0;0;"C0079773";"34075";"Approved"
"DB00005";"2075670";"TRUE";228;48;171;21;4;2;19;28;5;41;13;61;5;27;8;104;4;38;11;4;8;4;7;2;11;2;30;2;12;6;4;8;0;5;1;13;7;5;1;5;3;3;6;1;11;3;50;0;4;3;8;2;2;2;2;3;13;1;1;0;4;6;1;0;5;2;1;2;2;1;2;3;2;0;0;0;0;1;0;1;0;0;1;0;2;1;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;371;48;26;163;28;53;54;2;6;4;2;0;0;"C0003873";"729887";"Approved"
"DB00005";"2075670";"TRUE";104;21;86;4;2;1;2;10;1;26;6;42;1;10;1;60;2;21;6;2;4;2;6;2;9;2;21;1;1;6;3;5;0;0;1;10;1;2;1;1;1;3;2;1;4;1;37;0;1;0;4;1;0;1;1;2;5;1;1;0;1;1;0;0;4;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;10;8;99;11;29;32;1;2;1;1;0;0;"C3495559";"1040478";"Approved"
"DB00005";"2075670";"TRUE";95;18;62;3;1;0;1;12;1;22;5;41;2;11;2;57;1;15;7;0;6;2;4;2;10;2;19;1;2;7;0;5;0;1;1;9;2;2;1;2;1;3;4;0;2;1;35;0;2;1;3;1;0;1;1;1;4;0;1;0;0;1;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;4;10;88;12;31;30;1;1;2;1;0;0;"C0003872";"2233308";"Approved"
